SKATEPARK,LAT,LON
SKATEPARK LAMBRO,"45.4932828","9.2462370"
SKATEPARK AREA MOTTA,"45.4633984","9.2242845"
SKATEPARK LAMPUGNANO PLAZA,"45.4914910","9.1253475"
SKATEPARK SAVONA,"45.4533429","9.1525626"
SKATEPARK GRATO ,"45.4221611","9.1728203"
SKATEPARK BICOCCA,"45.5256932","9.2152203"
SKATEPARK PINBOWL,"45.5038098","9.0882789"
SKATEPARK CORMANO,"45.5454421","9.1662754"
SKATEPARK SEREGNO BOWL,"45.6601539","9.2098269"
SKATEPARK QUARTO OGGIARO,"45.5106943","9.1497124"
SKATEPARK,"45.421292","9.2794512"
SKATEPARK IDROSCALO,"45.4748557","9.2876168"
SKATEPARK BONASSODROMO,"45.6527129","9.3521676"
SKATEPARK WAVE,"45.5962299","9.8906473"
SKATEPARK DI MANDELLO DEL LARIO,"45.9173813","9.3137638"
SKATEPARK H.M.S.,"45.6353995","8.3851230"
SKATEPARK FIUMARA,"44.4143443","8.8813277"
SKATEPARK GENOVA,"44.4041668","8.9509400"
SKATEPARK,"44.4260966","8.7913524"
SKATEPARK ARENZANO,"44.4016634","8.6801435"
SKATEPARK GALIANO,"45.4470963","10.9713376"
SKATEPARK-LE COLOMBARE,"45.4551453","11.0061929"